year,half,type,count
2024,2,account hidden,3495
2024,2,"account hidden, but later unhidden",72
2024,2,account access restricted,129
2024,2,"account access restricted, but later unrestricted",3
2024,2,account hidden and access restricted,12351
2024,2,"account hidden and access restricted, but partially reinstated",91
2024,2,"account hidden and access restricted, but fully reinstated",70
2024,2,projects disabled,2977
2024,2,"projects disabled, but later re-enabled",3
2024,1,account hidden,5334
2024,1,"account hidden, but later unhidden",130
2024,1,account access restricted,53
2024,1,"account access restricted, but later unrestricted",4
2024,1,account hidden and access restricted,9626
2024,1,"account hidden and access restricted, but partially reinstated",281
2024,1,"account hidden and access restricted, but fully reinstated",331
2024,1,projects disabled,2977
2024,1,"projects disabled, but later re-enabled",3
2023,2,account hidden,18897
2023,2,account hidden, but later unhidden,427
2023,2,account access restricted,9347
2023,2,account access restricted, but later unrestricted,258
2023,2,account hidden and access restricted,9283
2023,2,account hidden and access restricted, but partially reinstated,178
2023,2,account hidden and access restricted, but fully reinstated,243
2023,2,projects disabled,4494
2023,2,projects disabled, but later re-enabled,2
2023,1,account hidden,9735
2023,1,"account hidden, but later unhidden",256
2023,1,account access restricted,4151
2023,1,"account access restricted, but later unrestricted",101
2023,1,account hidden and access restricted,4169
2023,1,"account hidden and access restricted, but partially reinstated",169
2023,1,"account hidden and access restricted, but fully reinstated",88
2023,1,projects disabled,4346
2023,1,"projects disabled, but later re-enabled",128
