year,government,government_iso2_code,count
2023,Austria,AT,1
2023,Belgium,BE,1
2023,Brazil,BR,4
2023,Canada,CA,1
2023,Germany,DE,3
2023,Spain,ES,2
2023,France,FR,8
2023,India,IN,5
2023,Italy,IT,2
2023,Korea,KR,1
2023,Poland,PL,2
2022,Argentina,AR,1
2022,Brazil,BR,4
2022,Bulgaria,BG,1
2022,Estonia,EE,1
2022,France,FR,4
2022,India,IN,22
2022,Republic of San Marino,SM,1
2022,Spain,ES,1
2022,Switzerland,CH,1
2022,Ukraine,UA,1
2021,Nepal,NP,1
2021,Brazil,BR,1
2021,Japan,JP,1
2021,Germany,DE,3
2021,India,IN,10
2020,Germany,DE,6
2020,India,IN,2
2019,Germany,DE,7
2019,India,IN,1
