year,month_range,type,count
2023,Jan-Jun,National security letters and orders received,0-249
2023,Jan-Jun,Affected accounts,750-999
2022,Jul-Dec,National security letters and orders received,0-249
2022,Jul-Dec,Affected accounts,250-499
2022,Jan-Jun,National security letters and orders received,0-249
2022,Jan-Jun,Affected accounts,0-249
2021,Jul-Dec,National security letters and orders received,0-249
2021,Jul-Dec,Affected accounts,0-249
2021,Jan-Jun,National security letters and orders received,0-249
2021,Jan-Jun,Affected accounts,0-249
2020,Jul-Dec,National security letters and orders received,0-249
2020,Jul-Dec,Affected accounts,0-249
2020,Jan-Jun,National security letters and orders received,0-249
2020,Jan-Jun,Affected accounts,0-249
2019,Jul-Dec,National security letters and orders received,0-249
2019,Jul-Dec,Affected accounts,0-249
2019,Jan-Jun,National security letters and orders received,0-249
2019,Jan-Jun,Affected accounts,0-249
2018,Jul-Dec,National security letters and orders received,0-249
2018,Jul-Dec,Affected accounts,0-249
2018,Jan-Jun,National security letters and orders received,0-249
2018,Jan-Jun,Affected accounts,0-249
2017,Jul-Dec,National security letters and orders received,0-249
2017,Jul-Dec,Affected accounts,0-249
2017,Jan-Jun,National security letters and orders received,0-249
2017,Jan-Jun,Affected accounts,0-249
2016,Jul-Dec,National security letters and orders received,0-249
2016,Jul-Dec,Affected accounts,0-249
2016,Jan-Jun,National security letters and orders received,0-249
2016,Jan-Jun,Affected accounts,0-249
2015,Jul-Dec,National security letters and orders received,0-249
2015,Jul-Dec,Affected accounts,0-249
2015,Jan-Jun,National security letters and orders received,0-249
2015,Jan-Jun,Affected accounts,0-249
2014,Jul-Dec,National security letters and orders received,0-249
2014,Jul-Dec,Affected accounts,0-249
2014,Jan-Jun,National security letters and orders received,0-249
2014,Jan-Jun,Affected accounts,0-249
